ID,ISLEAF,ISSHORTTERM,PARENT_ID,CAT1,CAT2,DESCRIPTION
L10-11760-4,1,0,0,10,11760,Improved methods of communication
L10-11760-5,1,0,0,10,11760,Improved communication thru team huddles or meetings
L10-11760-6,1,0,0,10,11760,Additional training
L10-11760-7,1,0,0,10,11760,Review of key processes
L10-11760-8,1,0,0,10,11760,Establishment of process improvement program
L10-11760-9,1,0,0,10,11760,Establishment of safety culture program
L10-11762-1,1,0,0,10,11762,Decreased interruptions/distractions
L10-11762-10,1,0,0,10,11762,Evaluation of workload and staffing levels
L10-11762-11,1,0,0,10,11762,Hiring of additional personnel/expertise
L10-11762-12,1,0,0,10,11762,New or upgraded software/machine
L10-11762-13,1,0,0,10,11762,Improved IT support/networking
L10-11762-14,1,0,0,10,11762,Improved vendor support/service
L10-11762-15,1,0,0,10,11762,New or improved equipment/instrumentation
L10-11762-16,1,0,0,10,11762,Internal/external audits with recommendations
L10-11762-17,1,0,0,10,11762,Creation of team to implement action plan
L10-11762-18,1,0,0,10,11762,New procedures
L10-11762-19,1,0,0,10,11762,Improved procedure
L10-11762-2,1,0,0,10,11762,Increased attention to detail
L10-11762-20,1,0,0,10,11762,Procedural checklist
L10-11762-21,1,0,0,10,11762,Custom Attribute
L10-11762-3,1,0,0,10,11762,"Increased oversight, supervision, or leadership"
L10-11762-4,1,0,0,10,11762,Improved methods of communication
L10-11762-5,1,0,0,10,11762,Improved communication thru team huddles or meetings
L10-11762-6,1,0,0,10,11762,Additional training
L10-11762-7,1,0,0,10,11762,Review of key processes
L10-11762-8,1,0,0,10,11762,Establishment of process improvement program
L10-11762-9,1,0,0,10,11762,Establishment of safety culture program
L10-11764-1,1,0,0,10,11764,Decreased interruptions/distractions
L10-11764-10,1,0,0,10,11764,Evaluation of workload and staffing levels
L10-11764-11,1,0,0,10,11764,Hiring of additional personnel/expertise
L10-11764-12,1,0,0,10,11764,New or upgraded software/machine
L10-11764-13,1,0,0,10,11764,Improved IT support/networking
L10-11764-14,1,0,0,10,11764,Improved vendor support/service
L10-11764-15,1,0,0,10,11764,New or improved equipment/instrumentation
L10-11764-16,1,0,0,10,11764,Internal/external audits with recommendations
L10-11764-17,1,0,0,10,11764,Creation of team to implement action plan
L10-11764-18,1,0,0,10,11764,New procedures
L10-11764-19,1,0,0,10,11764,Improved procedure
L10-11764-2,1,0,0,10,11764,Increased attention to detail
L10-11764-20,1,0,0,10,11764,Procedural checklist
L10-11764-21,1,0,0,10,11764,Custom Attribute
L10-11764-3,1,0,0,10,11764,"Increased oversight, supervision, or leadership"
L10-11764-4,1,0,0,10,11764,Improved methods of communication
L10-11764-5,1,0,0,10,11764,Improved communication thru team huddles or meetings
L10-11764-6,1,0,0,10,11764,Additional training
L10-11764-7,1,0,0,10,11764,Review of key processes
L10-11764-8,1,0,0,10,11764,Establishment of process improvement program
L10-11764-9,1,0,0,10,11764,Establishment of safety culture program
L10-12442-1,1,0,0,10,12442,Decreased interruptions/distractions
L10-12442-10,1,0,0,10,12442,New procedures
L10-12442-11,1,0,0,10,12442,Improved procedure
L10-12442-12,1,0,0,10,12442,Increased attention to detail
L10-12442-13,1,0,0,10,12442,Procedural checklist
L10-12442-14,1,0,0,10,12442,Custom Attribute
L10-12442-15,1,0,0,10,12442,"Increased oversight, supervision, or leadership"
L10-12442-16,1,0,0,10,12442,Improved methods of communication
L10-12442-17,1,0,0,10,12442,Improved communication thru team huddles or meetings
L10-12442-18,1,0,0,10,12442,Additional training
L10-12442-19,1,0,0,10,12442,Review of key processes
L10-12442-2,1,0,0,10,12442,Evaluation of workload and staffing levels
L10-12442-20,1,0,0,10,12442,Establishment of process improvement program
L10-12442-21,1,0,0,10,12442,Establishment of safety culture program
L10-12442-3,1,0,0,10,12442,Hiring of additional personnel/expertise
L10-12442-4,1,0,0,10,12442,New or upgraded software/machine
L10-12442-5,1,0,0,10,12442,Improved IT support/networking
L10-12442-6,1,0,0,10,12442,Improved vendor support/service
L10-12442-7,1,0,0,10,12442,New or improved equipment/instrumentation
L10-12442-8,1,0,0,10,12442,Internal/external audits with recommendations
L10-12442-9,1,0,0,10,12442,Creation of team to implement action plan
L10000-10001-1,1,0,0,10000,10001,Decreased interruptions/distractions
L10000-10001-10,1,0,0,10000,10001,Internal/external audits with recommendations
L10000-10001-11,1,0,0,10000,10001,Creation of team to implement action plan
L10000-10001-12,1,0,0,10000,10001,Improved procedure
L10000-10001-13,1,0,0,10000,10001,New procedures
L10000-10001-14,1,0,0,10000,10001,Procedural checklist
L10000-10001-15,1,0,0,10000,10001,Increased attention to detail
L10000-10001-16,1,0,0,10000,10001,Custom Attribute
L10000-10001-17,1,0,0,10000,10001,"Increased oversight, supervision, or leadership"
L10000-10001-18,1,0,0,10000,10001,Improved methods of communication
L10000-10001-19,1,0,0,10000,10001,Improved communication thru team huddles or meetings
L10000-10001-2,1,0,0,10000,10001,Review of key processes
L10000-10001-20,1,0,0,10000,10001,Additional training
L10000-10001-3,1,0,0,10000,10001,Establishment of process improvement program
L10000-10001-4,1,0,0,10000,10001,Evaluation of workload and staffing levels
L10000-10001-5,1,0,0,10000,10001,Establishment of safety culture program
L10000-10001-6,1,0,0,10000,10001,Hiring of additional personnel/expertise
L10000-10001-7,1,0,0,10000,10001,New or upgraded software/equipment
L10000-10001-8,1,0,0,10000,10001,Improved IT support/networking
L10000-10001-9,1,0,0,10000,10001,Improved vendor support/service
L10000-10023-1,1,0,0,10000,10023,Decreased interruptions/distractions
L10000-10023-10,1,0,0,10000,10023,Review of key processes
L10000-10023-11,1,0,0,10000,10023,Establishment of process improvement program
L10000-10023-12,1,0,0,10000,10023,Evaluation of workload and staffing levels
L10000-10023-13,1,0,0,10000,10023,Establishment of safety culture program
L10000-10023-14,1,0,0,10000,10023,Hiring of additional personnel/expertise
L10000-10023-15,1,0,0,10000,10023,New or upgraded software/equipment
L10000-10023-16,1,0,0,10000,10023,Improved IT support/networking
L10000-10023-17,1,0,0,10000,10023,Improved vendor support/service
L10000-10023-18,1,0,0,10000,10023,Internal/external audits with recommendations
L10000-10023-19,1,0,0,10000,10023,Creation of team to implement action plan
L10000-10023-2,1,0,0,10000,10023,Improved procedure
L10000-10023-20,1,0,0,10000,10023,New procedures
L10000-10023-3,1,0,0,10000,10023,Procedural checklist
L10000-10023-4,1,0,0,10000,10023,Increased attention to detail
L10000-10023-5,1,0,0,10000,10023,Custom Attribute
L10000-10023-6,1,0,0,10000,10023,"Increased oversight, supervision, or leadership"
L10000-10023-7,1,0,0,10000,10023,Improved methods of communication
L10000-10023-8,1,0,0,10000,10023,Improved communication thru team huddles or meetings
L10000-10023-9,1,0,0,10000,10023,Additional training
L10000-10073-1,1,0,0,10000,10073,Decreased interruptions/distractions
L10000-10073-10,1,0,0,10000,10073,Improved procedure
L10000-10073-11,1,0,0,10000,10073,Procedural checklist
L10000-10073-12,1,0,0,10000,10073,Increased attention to detail
L10000-10073-13,1,0,0,10000,10073,Custom Attribute
L10000-10073-14,1,0,0,10000,10073,"Increased oversight, supervision, or leadership"
L10000-10073-15,1,0,0,10000,10073,Improved methods of communication
L10000-10073-16,1,0,0,10000,10073,Improved communication thru team huddles or meetings
L10000-10073-17,1,0,0,10000,10073,Additional training
L10000-10073-18,1,0,0,10000,10073,Review of key processes
L10000-10073-19,1,0,0,10000,10073,Establishment of process improvement program
L10000-10073-2,1,0,0,10000,10073,Evaluation of workload and staffing levels
L10000-10073-20,1,0,0,10000,10073,Establishment of safety culture program
L10000-10073-3,1,0,0,10000,10073,Hiring of additional personnel/expertise
L10000-10073-4,1,0,0,10000,10073,New or upgraded software/equipment
L10000-10073-5,1,0,0,10000,10073,Improved IT support/networking
L10000-10073-6,1,0,0,10000,10073,Improved vendor support/service
L10000-10073-7,1,0,0,10000,10073,Internal/external audits with recommendations
L10000-10073-8,1,0,0,10000,10073,Creation of team to implement action plan
L10000-10073-9,1,0,0,10000,10073,New procedures
L10000-10096-1,1,0,0,10000,10096,Decreased interruptions/distractions
L10000-10096-10,1,0,0,10000,10096,Evaluation of workload and staffing levels
L10000-10096-11,1,0,0,10000,10096,Hiring of additional personnel/expertise
L10000-10096-12,1,0,0,10000,10096,New or upgraded software/equipment
L10000-10096-13,1,0,0,10000,10096,Improved IT support/networking
L10000-10096-14,1,0,0,10000,10096,Improved vendor support/service
L10000-10096-15,1,0,0,10000,10096,Internal/external audits with recommendations
L10000-10096-16,1,0,0,10000,10096,Creation of team to implement action plan
L10000-10096-17,1,0,0,10000,10096,New procedures
L10000-10096-18,1,0,0,10000,10096,Improved procedure
L10000-10096-19,1,0,0,10000,10096,Procedural checklist
L10000-10096-2,1,0,0,10000,10096,Increased attention to detail
L10000-10096-20,1,0,0,10000,10096,Custom Attribute
L10000-10096-3,1,0,0,10000,10096,"Increased oversight, supervision, or leadership"
L10000-10096-4,1,0,0,10000,10096,Improved methods of communication
L10000-10096-5,1,0,0,10000,10096,Improved communication thru team huddles or meetings
L10000-10096-6,1,0,0,10000,10096,Additional training
L10000-10096-7,1,0,0,10000,10096,Review of key processes
L10000-10096-8,1,0,0,10000,10096,Establishment of process improvement program
L10000-10096-9,1,0,0,10000,10096,Establishment of safety culture program
L10000-10105-1,1,0,0,10000,10105,Decreased interruptions/distractions
L10000-10105-10,1,0,0,10000,10105,Evaluation of workload and staffing levels
L10000-10105-11,1,0,0,10000,10105,Hiring of additional personnel/expertise
L10000-10105-12,1,0,0,10000,10105,New or upgraded software/equipment
L10000-10105-13,1,0,0,10000,10105,Improved IT support/networking
L10000-10105-14,1,0,0,10000,10105,Improved vendor support/service
L10000-10105-15,1,0,0,10000,10105,Internal/external audits with recommendations
L10000-10105-16,1,0,0,10000,10105,Creation of team to implement action plan
L10000-10105-17,1,0,0,10000,10105,New procedures
L10000-10105-18,1,0,0,10000,10105,Improved procedure
L10000-10105-19,1,0,0,10000,10105,Procedural checklist
L10000-10105-2,1,0,0,10000,10105,Increased attention to detail
L10000-10105-20,1,0,0,10000,10105,Custom Attribute
L10000-10105-3,1,0,0,10000,10105,"Increased oversight, supervision, or leadership"
L10000-10105-4,1,0,0,10000,10105,Improved methods of communication
L10000-10105-5,1,0,0,10000,10105,Improved communication thru team huddles or meetings
L10000-10105-6,1,0,0,10000,10105,Additional training
L10000-10105-7,1,0,0,10000,10105,Review of key processes
L10000-10105-8,1,0,0,10000,10105,Establishment of process improvement program
L10000-10105-9,1,0,0,10000,10105,Establishment of safety culture program
L10000-10115-1,1,0,0,10000,10115,Decreased interruptions/distractions
L10000-10115-10,1,0,0,10000,10115,Evaluation of workload and staffing levels
L10000-10115-11,1,0,0,10000,10115,Hiring of additional personnel/expertise
L10000-10115-12,1,0,0,10000,10115,New or upgraded software/equipment
L10000-10115-13,1,0,0,10000,10115,Improved IT support/networking
L10000-10115-14,1,0,0,10000,10115,Improved vendor support/service
L10000-10115-15,1,0,0,10000,10115,Internal/external audits with recommendations
L10000-10115-16,1,0,0,10000,10115,Creation of team to implement action plan
L10000-10115-17,1,0,0,10000,10115,New procedures
L10000-10115-18,1,0,0,10000,10115,Improved procedure
L10000-10115-19,1,0,0,10000,10115,Procedural checklist
L10000-10115-2,1,0,0,10000,10115,Increased attention to detail
L10000-10115-20,1,0,0,10000,10115,Custom Attribute
L10000-10115-3,1,0,0,10000,10115,"Increased oversight, supervision, or leadership"
L10000-10115-4,1,0,0,10000,10115,Improved methods of communication
L10000-10115-5,1,0,0,10000,10115,Improved communication thru team huddles or meetings
L10000-10115-6,1,0,0,10000,10115,Additional training
L10000-10115-7,1,0,0,10000,10115,Review of key processes
L10000-10115-8,1,0,0,10000,10115,Establishment of process improvement program
L10000-10115-9,1,0,0,10000,10115,Establishment of safety culture program
L10000-10125-1,1,0,0,10000,10125,Improved procedure
L10000-10125-10,1,0,0,10000,10125,External audits with recommendations
L10000-10125-11,1,0,0,10000,10125,Review of key processes
L10000-10125-12,1,0,0,10000,10125,Establishment of continuous improvement program
L10000-10125-13,1,0,0,10000,10125,Custom Attribute
L10000-10125-2,1,0,0,10000,10125,Procedural checklist
L10000-10125-3,1,0,0,10000,10125,Increased oversight or supervision
L10000-10125-4,1,0,0,10000,10125,Increased attention to detail
L10000-10125-5,1,0,0,10000,10125,Improved communication through periodic meetings
L10000-10125-6,1,0,0,10000,10125,Evaluation of workload and staffing levels
L10000-10125-7,1,0,0,10000,10125,Hiring of additional personnel/expertise
L10000-10125-8,1,0,0,10000,10125,New or improved equipment
L10000-10125-9,1,0,0,10000,10125,Internal audits with recommendations
L10000-10137-1,1,0,0,10000,10137,Decreased interruptions/distractions
L10000-10137-10,1,0,0,10000,10137,Review of key processes
L10000-10137-11,1,0,0,10000,10137,Establishment of process improvement program
L10000-10137-12,1,0,0,10000,10137,Evaluation of workload and staffing levels
L10000-10137-13,1,0,0,10000,10137,Establishment of safety culture program
L10000-10137-14,1,0,0,10000,10137,Hiring of additional personnel/expertise
L10000-10137-15,1,0,0,10000,10137,New or upgraded software/equipment
L10000-10137-16,1,0,0,10000,10137,Improved IT support/networking
L10000-10137-17,1,0,0,10000,10137,Improved vendor support/service
L10000-10137-18,1,0,0,10000,10137,Internal/external audits with recommendations
L10000-10137-19,1,0,0,10000,10137,Creation of team to implement action plan
L10000-10137-2,1,0,0,10000,10137,Improved procedure
L10000-10137-20,1,0,0,10000,10137,New procedures
L10000-10137-3,1,0,0,10000,10137,Procedural checklist
L10000-10137-4,1,0,0,10000,10137,Increased attention to detail
L10000-10137-5,1,0,0,10000,10137,Custom Attribute
L10000-10137-6,1,0,0,10000,10137,"Increased oversight, supervision, or leadership"
L10000-10137-7,1,0,0,10000,10137,Improved methods of communication
L10000-10137-8,1,0,0,10000,10137,Improved communication thru team huddles or meetings
L10000-10137-9,1,0,0,10000,10137,Additional training
L10000-10148-1,1,0,0,10000,10148,Decreased interruptions/distractions
L10000-10148-10,1,0,0,10000,10148,Evaluation of workload and staffing levels
L10000-10148-11,1,0,0,10000,10148,Hiring of additional personnel/expertise
L10000-10148-12,1,0,0,10000,10148,New or upgraded software/equipment
L10000-10148-13,1,0,0,10000,10148,Improved IT support/networking
L10000-10148-14,1,0,0,10000,10148,Improved vendor support/service
L10000-10148-15,1,0,0,10000,10148,Internal/external audits with recommendations
L10000-10148-16,1,0,0,10000,10148,Creation of team to implement action plan
L10000-10148-17,1,0,0,10000,10148,New procedures
L10000-10148-18,1,0,0,10000,10148,Improved procedure
L10000-10148-19,1,0,0,10000,10148,Procedural checklist
L10000-10148-2,1,0,0,10000,10148,Increased attention to detail
L10000-10148-20,1,0,0,10000,10148,Custom Attribute
L10000-10148-3,1,0,0,10000,10148,"Increased oversight, supervision, or leadership"
L10000-10148-4,1,0,0,10000,10148,Improved methods of communication
L10000-10148-5,1,0,0,10000,10148,Improved communication thru team huddles or meetings
L10000-10148-6,1,0,0,10000,10148,Additional training
L10000-10148-7,1,0,0,10000,10148,Review of key processes
L10000-10148-8,1,0,0,10000,10148,Establishment of process improvement program
L10000-10148-9,1,0,0,10000,10148,Establishment of safety culture program
L10000-12163-1,1,0,0,10000,12163,Decreased interruptions/distractions
L10000-12163-10,1,0,0,10000,12163,Improved procedure
L10000-12163-11,1,0,0,10000,12163,Procedural checklist
L10000-12163-12,1,0,0,10000,12163,Increased attention to detail
L10000-12163-13,1,0,0,10000,12163,Custom Attribute
L10000-12163-14,1,0,0,10000,12163,"Increased oversight, supervision, or leadership"
L10000-12163-15,1,0,0,10000,12163,Improved methods of communication
L10000-12163-16,1,0,0,10000,12163,Improved communication thru team huddles or meetings
L10000-12163-17,1,0,0,10000,12163,Additional training
L10000-12163-18,1,0,0,10000,12163,Review of key processes
L10000-12163-19,1,0,0,10000,12163,Establishment of process improvement program
L10000-12163-2,1,0,0,10000,12163,Evaluation of workload and staffing levels
L10000-12163-20,1,0,0,10000,12163,Establishment of safety culture program
L10000-12163-3,1,0,0,10000,12163,Hiring of additional personnel/expertise
L10000-12163-4,1,0,0,10000,12163,New or upgraded software/equipment
L10000-12163-5,1,0,0,10000,12163,Improved IT support/networking
L10000-12163-6,1,0,0,10000,12163,Improved vendor support/service
L10000-12163-7,1,0,0,10000,12163,Internal/external audits with recommendations
L10000-12163-8,1,0,0,10000,12163,Creation of team to implement action plan
L10000-12163-9,1,0,0,10000,12163,New procedures
L10160-10161-1,1,0,0,10160,10161,Improved procedure
L10160-10161-10,1,0,0,10160,10161,Evaluation of workload and staffing levels
L10160-10161-11,1,0,0,10160,10161,Hiring of additional personnel/expertise
L10160-10161-12,1,0,0,10160,10161,New or improved equipment
L10160-10161-13,1,0,0,10160,10161,Internal audits with recommendations
L10160-10161-2,1,0,0,10160,10161,External audits with recommendations
L10160-10161-3,1,0,0,10160,10161,Review of key processes
L10160-10161-4,1,0,0,10160,10161,Establishment of continuous improvement program
L10160-10161-5,1,0,0,10160,10161,Custom Attribute
L10160-10161-6,1,0,0,10160,10161,Procedural checklist
L10160-10161-7,1,0,0,10160,10161,Increased oversight or supervision
L10160-10161-8,1,0,0,10160,10161,Increased attention to detail
L10160-10161-9,1,0,0,10160,10161,Improved communication through periodic meetings
L10177-10178-1,1,0,0,10177,10178,Additional training
L10177-10178-10,1,0,0,10177,10178,Improved equipment/instrumentation
L10177-10178-11,1,0,0,10177,10178,New machine/equipment
L10177-10178-12,1,0,0,10177,10178,Internal audits with recommendations
L10177-10178-13,1,0,0,10177,10178,External audits with recommendations
L10177-10178-14,1,0,0,10177,10178,Review of key processes
L10177-10178-15,1,0,0,10177,10178,Establishment of continuous improvement program
L10177-10178-16,1,0,0,10177,10178,Custom Attribute
L10177-10178-2,1,0,0,10177,10178,New procedures
L10177-10178-3,1,0,0,10177,10178,Improved procedure
L10177-10178-4,1,0,0,10177,10178,Procedural checklist
L10177-10178-5,1,0,0,10177,10178,Increased oversight or supervision
L10177-10178-6,1,0,0,10177,10178,Increased attention to detail
L10177-10178-7,1,0,0,10177,10178,Improved communication through periodic meetings
L10177-10178-8,1,0,0,10177,10178,Evaluation of workload and staffing levels
L10177-10178-9,1,0,0,10177,10178,Hiring of additional personnel/expertise
L10177-10205-1,1,0,0,10177,10205,Additional training
L10177-10205-10,1,0,0,10177,10205,Improved equipment/instrumentation
L10177-10205-11,1,0,0,10177,10205,New machine/equipment
L10177-10205-12,1,0,0,10177,10205,Internal audits with recommendations
L10177-10205-13,1,0,0,10177,10205,External audits with recommendations
L10177-10205-14,1,0,0,10177,10205,Review of key processes
L10177-10205-15,1,0,0,10177,10205,Establishment of continuous improvement program
L10177-10205-16,1,0,0,10177,10205,Custom Attribute
L10177-10205-2,1,0,0,10177,10205,New procedures
L10177-10205-3,1,0,0,10177,10205,Improved procedure
L10177-10205-4,1,0,0,10177,10205,Procedural checklist
L10177-10205-5,1,0,0,10177,10205,Increased oversight or supervision
L10177-10205-6,1,0,0,10177,10205,Increased attention to detail
L10177-10205-7,1,0,0,10177,10205,Improved communication through periodic meetings
L10177-10205-8,1,0,0,10177,10205,Evaluation of workload and staffing levels
L10177-10205-9,1,0,0,10177,10205,Hiring of additional personnel/expertise
L10177-10222-1,1,0,0,10177,10222,Additional training
L10177-10222-10,1,0,0,10177,10222,Improved equipment/instrumentation
L10177-10222-11,1,0,0,10177,10222,New machine/equipment
L10177-10222-12,1,0,0,10177,10222,Internal audits with recommendations
L10177-10222-13,1,0,0,10177,10222,External audits with recommendations
L10177-10222-14,1,0,0,10177,10222,Review of key processes
L10177-10222-15,1,0,0,10177,10222,Establishment of continuous improvement program
L10177-10222-16,1,0,0,10177,10222,Custom Attribute
L10177-10222-2,1,0,0,10177,10222,New procedures
L10177-10222-3,1,0,0,10177,10222,Improved procedure
L10177-10222-4,1,0,0,10177,10222,Procedural checklist
L10177-10222-5,1,0,0,10177,10222,Increased oversight or supervision
L10177-10222-6,1,0,0,10177,10222,Increased attention to detail
L10177-10222-7,1,0,0,10177,10222,Improved communication through periodic meetings
