ID,CATLEVEL,DESCRIPTION
10193,3,Separation miss.
10194,3,Incorrect contour
10195,3,R&V: Failure to capture all Tx fields
10196,3,R&V: Failure to capture correct Tx fields
10197,3,R&V: Failure to capture setup fields
10198,3,Setup instructions incorr.
10199,3,Setup instructions miss./incomplete
10200,3,Custom attribute SL 1 (Most Severe)
10201,3,Custom attribute SL 2
10202,3,Custom attribute SL 3
10203,3,Custom attribute SL 4
10204,3,Custom attribute SL 5 (Least Severe)
10205,2,Setup Photos/Diagrams
10206,3,Face ID photo incorr./miss.
10207,3,Setup field photos incorr./miss.
10208,3,Setup field photos not labeled
10209,3,Setup field photos not scanned
10210,3,Setup field photos not downloaded
10211,3,Wrong setup field photos scanned
10212,3,Setup field diagrams incorr./miss.
10213,3,Setup field diagrams not labeled
10214,3,Setup field diagrams not scanned
10215,3,Setup field diagrams not downloaded
10216,3,Wrong setup field diagrams scanned
10217,3,Custom attribute SL 1 (Most Severe)
10218,3,Custom attribute SL 2
10219,3,Custom attribute SL 3
10220,3,Custom attribute SL 4
10221,3,Custom attribute SL 5 (Least Severe)
10222,2,Films
10223,3,Patient name incorr./miss.
10224,3,RO record no. incorr./miss.
10225,3,Date incorr./miss.
10226,3,Sim field no. incorr./miss.
10227,3,Sim field name incorr./miss.
10228,3,Labeling of anatomical orientation incorr.
10229,3,"kVp, mA, secs. not documented"
10230,3,"Poor technique factors (kVp, mA., secs.)"
10231,3,X&Y plane blade settings incorr.
10232,3,Patient position not flat/straight
10233,3,Film(s) not signed/dated by MD
10234,3,Scanned DRRs not approved by MD
10235,3,Custom attribute SL 1 (Most Severe)
10236,3,Custom attribute SL 2
10237,3,Custom attribute SL 3
10238,3,Custom attribute SL 4
10239,3,Custom attribute SL 5 (Least Severe)
10240,1,CT Simulation
10241,2,Patient Scan
10242,3,Patient position not flat/straight
10243,3,Patient position - protocol vs table incorr.
10244,3,Patient registration data incorr./miss.
10245,3,Scan protocol for region incorr.
10246,3,"Series (scout, axial, etc.) incorr."
10247,3,FOV  incorr.
10248,3,"Patient centering (AP/PA, RL/LL) incorr."
10249,3,"Scan type (axial, helical) incorr."
10250,3,Orientation of patient vs. Tx planning  computer incorr.
10251,3,Axial/helical thickness incorr.
10252,3,Gantry tilt incorr.
10253,3,"Poor technique factors (kVp, mA)"
10254,3,Custom attribute SL 1 (Most Severe)
10255,3,Custom attribute SL 2
10256,3,Custom attribute SL 3
10257,3,Custom attribute SL 4
10258,3,Custom attribute SL 5 (Least Severe)
10259,1,Images
10260,2,Reconstruction of wrong scan data
10261,2,Reconstruction of wrong scan data
10262,2,Images
10263,3,Reconstruction of wrong scan data
10264,3,"Reconstruction type (soft, bone) incorr."
10265,3,"Image filter (smooth, edge) incorr."
10266,3,Matrix size incorr.
10267,3,Custom attribute SL 1 (Most Severe)
10268,3,Custom attribute SL 2
10269,3,Custom attribute SL 3
10270,3,Custom attribute SL 4
10271,3,Custom attribute SL 5 (Least Severe)
10272,2,Lasers Alignment System
10273,3,Lasers Z1-Z3 not at isocenter
10274,3,Z1-Z3 alignment error > 1 mm
10275,3,CT and laser 0 not equal
10276,3,Fudicials vs laser marks > 1mm
10277,3,Custom attribute SL 1 (Most Severe)
10278,3,Custom attribute SL 2
10279,3,Custom attribute SL 3
10280,3,Custom attribute SL 4
10281,3,Custom attribute SL 5 (Least Severe)
10282,1,Computer Tx Planning
10283,2,Tx Plan
10284,3,Patient name incorr./miss.
10285,3,Plan identification incorr./miss.
10286,3,Tx site incorr./miss.
10287,3,Patient imaging orientation incorr.
10288,3,Patient Tx orientation incorr.
10289,3,Patient registration incorr.
10290,3,Image origin incorr.
10291,3,Patient structures mislabeled
10292,3,DVH miss.
10293,3,PET/CT image fusion incorr.
10294,3,Photon or electron algorithm used incorr.
10295,3,Tx plan not signed within 1 week
10296,3,Custom attribute SL 1 (Most Severe)
10297,3,Custom attribute SL 2
10298,3,Custom attribute SL 3
10299,3,Custom attribute SL 4
10300,3,Custom attribute SL 5 (Least Severe)
10301,3,Tx plan not signed
10302,3,Custom attribute SL 1 (Most Severe)
10303,3,Custom attribute SL 2
10304,3,Custom attribute SL 3
10305,3,Custom attribute SL 4
10306,3,Custom attribute SL 5 (Least Severe)
10307,1,Dose Calculations
10308,2,Manual Calculations
10309,3,Tx site incorr./miss.
10310,3,Field names or nos. incorr./miss.
10311,3,Energy incorr./miss.
10312,3,Energy incorr./miss.
10313,3,SSD/SSD incorr./miss.
10314,3,Effective depth incorr./miss.
10315,3,Tray factor incorr./miss.
10316,3,Wedge factor incorr./miss.
10317,3,Bolus incorr./miss.
10318,3,"Calc. w/bolus, bolus not in Rx"
10319,3,Wrong collimator scatter factor
10320,3,Wrong phantom scatter factor
10321,3,Wrong inverse square factor
10322,3,Math error
10323,3,Calc. using wrong dose
10324,3,Dose calc. not signed
10325,3,Custom attribute SL 1 (Most Severe)
10326,3,Custom attribute SL 1 (Most Severe)
10327,3,Custom attribute SL 2
10328,3,Custom attribute SL 3
10329,3,Custom attribute SL 4
10330,3,Custom attribute SL 5 (Least Severe)
10331,2,Computer Calculations
10332,3,Tx site incorr./miss.
10333,3,Field names or nos. incorr./miss.
10334,3,Energy incorr./miss.
10335,3,Mode of Tx incorr./miss.
10336,3,Field size incorr./miss.
10337,3,Asymmetric jaw incorr./miss.
10338,3,SSD/SAD incorr.
10339,3,Effective depth incorr.
10340,3,Gantry angle incorr./miss.
10341,3,Collimator angle incorr./miss.
10342,3,Tray factor incorr./miss.
10343,3,Wedge angle incorr./miss.
10344,3,Bolus incorr./miss.
10345,3,Calc. to wrong point or structure
10346,3,Calc. using wrong dose
10347,3,Calc. not normalized correctly
10348,3,Inhomogeneity not used in calc.
10349,3,Prescribed dose percentage incorr.
10350,3,Dose at primary reference point incorr.
10351,3,Fractional dose incorr.
10352,3,Custom attribute SL 1 (Most Severe)
10353,3,Custom attribute SL 2
10354,3,Custom attribute SL 3
10355,3,Custom attribute SL 4
10356,3,Custom attribute SL 5 (Least Severe)
10357,1,Electron Cutouts
10358,2,Measurements
10359,3,Cutout used incorr.
10360,3,Dose incorr.
10361,3,Energy incorr.
10362,3,Cone size incorr.
10363,3,SSD incorr.
10364,3,Depth incorr.
10365,3,Isodose line incorr.
10366,3,Depth of measurement incorr.
10367,3,Custom attribute SL 1 (Most Severe)
10368,3,Custom attribute SL 2
10369,3,Custom attribute SL 3
10370,3,Custom attribute SL 3
10371,3,Custom attribute SL 5 (Least Severe)
10372,3,Custom attribute SL 4
10373,3,Custom attribute SL 5 (Least Severe)
10374,1,Beam Modifiers
10375,2,Fabrication/Mounting
10376,3,Blocks cut incorr.
10377,3,Hand set blocks mounted incorr.
10378,3,Custom blocks mounted incorr.
10379,3,Missing or late block checks
10380,3,Bolus thickness incorr.
10381,3,Bolus dimensions incorr.
10382,3,Compensator dimensions incorr.
10383,3,Pb cutout fit incorr.
10384,3,Pb cutout dimensions incorr.
10385,3,Custom attribute SL 1 (Most Severe)
10386,3,Custom attribute SL 2
10387,3,Custom attribute SL 3
10388,3,Custom attribute SL 4
10389,3,Custom attribute SL 5 (Least Severe)
10390,2,Treatment Schedule
10391,1,R & V
10392,2,Treatment Schedule
10393,3,Name incorr./miss.
10394,3,Date incorr./miss.
10395,3,Location incorr./miss.
10396,3,Recurring appointments incorr./miss.
10397,3,Scheduled pattern: daily incorr./miss.
10398,3,Scheduled pattern: twice daily incorr./miss.
10399,3,Scheduled pattern - weekly incorr./miss.
10400,3,Scheduled pattern - bi-weekly incorr./miss.
10401,3,Scheduled pattern - monthly incorr./miss.
10402,3,No. of appointments incorr./miss.
10403,3,Duration of appointment incorr./miss.
10404,3,New start (appointment) incorr./miss.
10405,3,Old start (appointment) incorr./miss.
10406,3,Final treatment (appointment) incorr./miss.
10407,3,Rescheduled appointment incorr./miss.
10408,3,Custom attribute SL 1 (Most Severe)
10409,3,Custom attribute SL 2
10410,3,Custom attribute SL 3
10411,3,Custom attribute SL 4
10412,3,Custom attribute SL 5 (Least Severe)
10413,2,Diagnosis
10414,3,Full name incorr./miss.
10415,3,Initial diagnosis date incorr./miss.
10416,3,"Diagnosis type (new primary, recurrent) incorr./miss."
10417,3,Diagnosis category (disease site) incorr./miss.
10418,3,Primary site (topography group) incorr./miss.
10419,3,Topography code (description) incorr./miss.
10420,3,Laterality incorr./miss.
10421,3,Morphology group incorr./miss.
10422,3,Morphology code (description) incorr./miss.
10423,3,Confirmation (histology) incorr./miss.
10424,3,Custom attribute SL 1 (Most Severe)
10425,3,Custom attribute SL 2
10426,3,Custom attribute SL 3
10427,3,Custom attribute SL 4
10428,3,Custom attribute SL 5 (Least Severe)
10429,2,Staging
10430,3,Staging basis incorr./miss.
10431,3,H/P grade incorr./miss.
10432,3,Tumor size incorr./miss.
10433,3,TNM staging factors incorr./miss.
10434,3,Stage incorr./miss.
10435,3,Lymph invade incorr./miss.
10436,3,Venous invade incorr./miss.
10437,3,Regional nodes exam incorr./miss.
10438,3,Positive nodes incorr./miss.
10439,3,Distant mets incorr./miss.
10440,3,Custom attribute SL 1 (Most Severe)
10441,3,Custom attribute SL 2
10442,3,Custom attribute SL 3
10443,3,Custom attribute SL 4
10444,3,Custom attribute SL 5 (Least Severe)
10445,2,Patient Care Plan
10446,3,Morphology - course no. incorr./miss.
10447,3,Effective date incorr./miss.
10448,3,Assigning physician incorr./miss.
10449,3,Protocol incorr./miss.
10450,3,Intent incorr./miss.
10451,3,Treatment modality - external beam incorr./miss.
10452,3,Treatment modality - surgery incorr./miss.
10453,3,Treatment modality - chemo incorr./miss.
10454,3,Treatment modality - hyper incorr./miss.
10455,3,Treatment modality - brachy incorr./miss.
10456,3,Treatment modality - hormone incorr./miss.
10457,3,Treatment modality - immuno incorr./miss.
10458,3,Treatment modality - immuno incorr./miss.
10459,3,Treatment modality - gene incorr./miss.
10460,3,Treatment modality - gene incorr./miss.
10461,3,Custom attribute SL 2
10462,3,Custom attribute SL 3
10463,3,Custom attribute SL 4
10464,3,Custom attribute SL 5 (Least Severe)
10465,3,Treatment modality - immuno incorr./miss.
10466,3,Treatment modality - bone morrow incorr./miss.
10467,3,Treatment modality - gene incorr./miss.
10468,3,Custom attribute SL 1 (Most Severe)
10469,3,Custom attribute SL 2
10470,3,Custom attribute SL 3
10471,3,Custom attribute SL 4
10472,3,Custom attribute SL 5 (Least Severe)
10473,2,Prescription
10474,3,Rx course incorr./miss.
10475,3,Rx site incorr./miss.
10476,3,Technique incorr./miss.
10477,3,Energy and modality (photons or electrons) incorr./miss.
10478,3,Dose spec incorr./miss.
10479,3,Rx depth incorr./miss.
10480,3,Rx dose incorr./miss.
10481,3,Fractional dose incorr./miss.
10482,3,Total cumulative dose incorr./miss.
10483,3,No. of fractions incorr./miss.
10484,3,Fractionation pattern (fx/day) incorr./miss.
10485,3,Pattern (fx/wk.) incorr./miss.
10486,3,"Comment (field nos., beam modifiers) incorr./miss."
10487,3,Electronic approval before 1st fx miss.
10488,3,Custom attribute SL 1 (Most Severe)
10489,3,Custom attribute SL 2
10490,3,Custom attribute SL 3
10491,3,Custom attribute SL 4
10492,3,Custom attribute SL 5 (Least Severe)
10493,2,Treatment Calendar
10494,3,Scheduled set of Tx fields incorr.
10495,3,No. of Tx sessions for schedule set incorr.
10496,3,Session/day - QD/BID/TID incorr.
10497,3,Pattern - daily/weekly/bi-weekly incorr.
10498,3,Starting date incorr.
10499,3,Ending date incorr.
10500,3,Tx calendar entries not approved
10501,3,Custom attribute SL 1 (Most Severe)
10502,3,Custom attribute SL 2
10503,3,Custom attribute SL 3
10504,3,Custom attribute SL 4
10505,3,Custom attribute SL 5 (Least Severe)
10506,2,Treatment Field Definition
10507,3,Field no. incorr./miss.
10508,3,Field name incorr./miss.
10509,3,Dose incorr./miss.
10510,3,Machine incorr./miss.
10511,3,Tolerance incorr./miss.
10512,3,Type incorr./miss.
10513,3,Modality (photons or electrons) incorr./miss.
10514,3,Energy incorr./miss.
10515,3,MU incorr./miss.
10516,3,Time incorr./miss.
10517,3,Doserate incorr./miss.
10518,3,Fixed wedge angle incorr.
10519,3,Fixed wedge orientation incorr.
10520,3,"No fixed wedge specified, fixed wedge in plan"
10521,3,EDW angle incorr.
10522,3,EDW wedge orientation incorr.
10523,3,"No EDW specified, EDW in plan"
10524,3,Compensator incorr.
10525,3,"No comp specified, comp in plan"
10526,3,Block entered incorr.
10527,3,No block specified; blocks in plan
10528,3,Bolus entered incorr.
10529,3,No bolus entered; bolus in plan
10530,3,Cutout not indicated
10531,3,TSD incorr./miss.
10532,3,Gantry angle incorr./miss.
10533,3,Collimator angle incorr./miss.
10534,3,Field size incorr./miss.
10535,3,Asymmetric jaw incorr./miss.
10536,3,MLC incorr./miss.
10537,3,Couch vertical incorr.
10538,3,Couch angle incorr.
10539,3,Pedestal incorr.
10540,3,Custom attribute SL 1 (Most Severe)
10541,3,Custom attribute SL 2
10542,3,Custom attribute SL 3
10543,3,Custom attribute SL 4
10544,3,Custom attribute SL 5 (Least Severe)
10545,2,Dose Tracking
10546,3,Dose coefficients for Tx fields incorr./miss.
10547,3,Dose coefficients for secondary sites incorr./miss.
10548,3,Failure to define critical dose action points
10549,3,Custom attribute SL 1 (Most Severe)
10550,3,Custom attribute SL 2
10551,3,Custom attribute SL 3
10552,3,Custom attribute SL 4
10553,3,Custom attribute SL 5 (Least Severe)
10554,1,Paper Chart
10555,2,Diagnosis
10556,3,Full name incorr./miss.
10557,3,Initial diagnosis date incorr./miss.
10558,3,"Diagnosis type (new primary,recurrent) incorr./miss."
10559,3,Diagnosis category (disease site) incorr./miss.
10560,3,Primary site (topography group) incorr./miss.
10561,3,Topography code (description) incorr./miss.
10562,3,Laterality incorr./miss.
10563,3,Morphology group incorr./miss.
10564,3,Morphology code (description) incorr./miss.
10565,3,Confirmation (histology) incorr./miss.
10566,3,Custom attribute SL 1 (Most Severe)
10567,3,Custom attribute SL 2
10568,3,Custom attribute SL 3
10569,3,Custom attribute SL 4
10570,3,Custom attribute SL 5 (Least Severe)
10571,2,Staging
10572,3,Staging basis incorr./miss.
10573,3,H/P grade incorr./miss.
10574,3,Tumor size incorr./miss.
10575,3,TNM staging factors incorr./miss.
10576,3,Stage incorr./miss.
10577,3,Lymph invade incorr./miss.
10578,3,Venous invade incorr./miss.
10579,3,Regional nodes exam incorr./miss.
10580,3,Positive nodes incorr./miss.
10581,3,Distant mets incorr./miss.
10582,3,Custom attribute SL 1 (Most Severe)
10583,3,Custom attribute SL 2
10584,3,Custom attribute SL 3
10585,3,Custom attribute SL 4
10586,3,Custom attribute SL 5 (Least Severe)
10587,2,Prescription
10588,3,Rx date incorr./miss.
10589,3,Rx course incorr./miss.
10590,3,Rx site incorr./miss.
10591,3,Field no. incorr./miss.
10592,3,Field name incorr./miss.
10593,3,Technique incorr./miss.
10594,3,Energy and modality (photons or electrons) incorr./miss.
10595,3,Dose specification incorr./miss.
10596,3,Rx depth incorr./miss.
10597,3,Total dose incorr./miss.
10598,3,Total dose incorr./miss.
10599,3,Total dose incorr./miss.
10600,3,"Pattern (fx/day, fx/wk.) incorr./miss."
10601,3,"Beam modifiers (wedges, bolus, compensators) incorr./miss."
10602,3,MD signature before 1st fx miss.
10603,3,Custom attribute SL 1 (Most Severe)
10604,3,Custom attribute SL 2
10605,3,Custom attribute SL 3
10606,3,Custom attribute SL 4
10607,3,Custom attribute SL 5 (Least Severe)
10608,3,Fractional dose incorr./miss.
10609,3,No. of fractions incorr./miss.
10610,3,"Pattern (fx/day, fx/wk.) incorr./miss."
10611,3,"Beam modifiers (wedges, bolus, compensators) incorr./miss."
10612,3,MD signature before 1st fx miss.
10613,3,Custom attribute SL 1 (Most Severe)
10614,3,Custom attribute SL 2
10615,3,Custom attribute SL 3
10616,3,Custom attribute SL 4
10617,3,Custom attribute SL 5 (Least Severe)
10618,2,Patient Setup Documentation
10619,3,DRRs incorr./miss.
10620,3,Tx field photos incorr./miss.
10621,3,Set-up instructions incorr./miss.
10622,3,Custom attribute SL 1 (Most Severe)
10623,3,Custom attribute SL 2
10624,3,Custom attribute SL 3
10625,3,Custom attribute SL 4
10626,3,Custom attribute SL 5 (Least Severe)
10627,2,Treatment Field Information
10628,3,Date incorr./miss.
10629,3,Machine incorr./miss.
10630,3,Energy incorr./miss.
10631,3,Field no. incorr./miss.
10632,3,Field name incorr./miss.
10633,3,SSD incorr./miss.
10634,3,Field size incorr./miss.
10635,3,Gantry angle incorr./miss.
10636,3,Collimator angle incorr./miss.
10637,3,Couch angle incorr./miss.
10638,3,Blocks not corr. indicated
10639,3,Blocks drawn in wrong orientation
10640,3,Bolus not corr. indicated
10641,3,Fixed wedge angle not corr. indicated
10642,3,Fixed wedge orientation incorr.
10643,3,"No fixed wedge specified, fixed wedge in plan"
10644,3,EDW angle not corr. indicated
10645,3,EDW wedge orientation incorr.
10646,3,"No EDW specified, EDW in plan"
10647,3,Cutout not corr. indicated
10648,3,Cutout drawn in wrong orientation
10649,3,Monitor units incorr./miss.
10650,3,Dose incorr./miss.
10651,3,Custom attribute SL 1 (Most Severe)
10652,3,Custom attribute SL 2
10653,3,Custom attribute SL 3
10654,3,Custom attribute SL 4
10655,3,Custom attribute SL 5 (Least Severe)
10656,2,Patient Docs/Notes
10657,3,Plan of treatment not documented
10658,3,Signed consent forms not present
10659,3,Custom attribute SL 1 (Most Severe)
10660,3,Custom attribute SL 2
10661,3,Custom attribute SL 3
10662,3,Custom attribute SL 4
10663,3,Custom attribute SL 5 (Least Severe)
10664,3,Initial consultation not completed
10665,3,Plan of treatment not documented
10666,3,Signed consent forms not present
10667,3,Custom attribute SL 1 (Most Severe)
10668,3,Custom attribute SL 2
10669,3,Custom attribute SL 3
10670,3,Custom attribute SL 4
10671,3,Custom attribute SL 5 (Least Severe)
10672,2,Patient Identification
10673,3,Redundant ID not performed
10674,3,Patient chart/folder utilized incorr.
10675,3,Patient pulled up in R&V incorr.
10676,3,Missing face photo
10677,3,Custom attribute SL 1 (Most Severe)
10678,3,Custom attribute SL 2
10679,3,Custom attribute SL 3
10680,3,Custom attribute SL 4
10681,3,Custom attribute SL 5 (Least Severe)
10682,1,Patient Docs/Notes
10683,2,Initial consultation not completed
10684,2,Plan of treatment not documented
10685,2,Default
10686,3,Initial consultation not completed
10687,3,Plan of treatment not documented
10688,3,Signed consent forms not present
10689,3,Custom attribute SL 1 (Most Severe)
10690,3,Custom attribute SL 2
10691,3,Custom attribute SL 3
10692,3,Custom attribute SL 4
10693,3,Custom attribute SL 5 (Least Severe)
10694,2,Patient Identification
10695,1,Patient Identification
10696,2,Default
10697,3,Redundant ID not performed
10698,3,Patient chart/folder utilized incorr.
10699,3,Patient pulled up in R&V incorr.
10700,3,Missing face photo
10701,3,Custom attribute SL 1 (Most Severe)
10702,3,Custom attribute SL 2
10703,3,Custom attribute SL 3
10704,3,Custom attribute SL 4
10705,3,Custom attribute SL 5 (Least Severe)
10706,1,Portal Images
10707,2,Radiographic Films
10708,1,Portal Images
10709,2,Radiographic Films
10710,3,Patient name incorr./miss.
10711,3,RO record no. incorr./miss.
10712,3,Field name incorr./miss.
10713,3,Labeling of anatomical orientation incorr.
10714,3,"kVp, mA, secs. not documented"
10715,3,"Poor technique factors (kVp, mA., secs.)"
10716,3,X&Y plane blade settings incorr.
10717,3,Films not taken prior to 1st fx
10718,3,Initial films not approved before 1st fx
10719,3,Initial films not taken of all fields
10720,3,Weekly films not taken
10721,3,Custom attribute SL 1 (Most Severe)
10722,3,Custom attribute SL 2
10723,3,Custom attribute SL 3
10724,3,Custom attribute SL 4
10725,3,Custom attribute SL 5 (Least Severe)
10726,2,Electronic Imager
10727,3,Images not taken prior to 1st fx
10728,3,Initial images not approved before 1st fx
10729,3,Initial images not taken of all fields
10730,3,Images associated with wrong location/field
10731,3,Images not saved
10732,3,Images not imported
10733,3,Images assigned to wrong patient
10734,3,Weekly images not acquired
10735,3,Weekly images not approved
10736,3,Port images - treatment MUs incorrect in R&V
10737,3,Port images - open exposure MUs incorrect in R&V
10738,3,Port images - dose coefficient incorrect in R&V
10739,3,Image contrast/brightness poor
10740,3,Image ruler not calibrated
10741,3,Custom attribute SL 1 (Most Severe)
10742,3,Custom attribute SL 2
10743,3,Custom attribute SL 3
10744,3,Custom attribute SL 4
10745,3,Custom attribute SL 5 (Least Severe)
10746,1,In-Room Tx Setup
10747,2,Fields
10748,3,Setup wrong patient
10749,3,Immobilization device missing
10750,3,Field alignment > 2 mm
10751,3,Fields incorr. entered in R&V
10752,3,Failure to hide unused Tx fields in R&V
10753,3,Custom attribute SL 1 (Most Severe)
10754,3,Custom attribute SL 2
10755,3,Custom attribute SL 3
10756,3,Custom attribute SL 4
10757,3,Custom attribute SL 5 (Least Severe)
10758,2,Beam Modifiers
10759,3,Blocks in incorr. orientation
10760,3,Blocks incorr./miss.
10761,3,Bolus incorr./miss.
